Province,District,Name,Party,,,Year,First,Last
Sorsogon ,1st,Evelina Escudero ,NPC ,3,Majority ,18,Evelina,Escudero
Sorsogon ,2nd,Ditas Ramos ,NPC ,1,Majority ,18,Ditas,Ramos
South Cotabato ,1st,Shirlyn Bañas-Nograles ,PDP-Laban ,1,Majority ,18,Shirlyn,Bañas-Nograles
South Cotabato ,2nd,Ferdinand Hernandez ,PDP-Laban ,3,Majority ,18,Ferdinand,Hernandez
Southern Leyte ,1st,(election pending)[2], ,, ,18, election,pending 
Southern Leyte ,2nd,(election pending)[2], ,, ,18, election,pending 
Sultan Kudarat ,1st,Bai Rihan Sakaluran ,NUP ,1,Majority ,18,Bai,Sakaluran
Sultan Kudarat ,2nd,"Horacio Suansing, Jr. ",NUP ,2,Majority ,18,Horacio,Suansing
Sulu ,1st,Samier Tan ,PDP-Laban ,1,Majority ,18,Samier,Tan
Sulu ,2nd,Abdulmunir Arbison ,Nacionalista ,3,Majority ,18,Abdulmunir,Arbison
Surigao del Norte ,1st,Francisco Jose Matugas II ,PDP-Laban ,2,Majority ,18,Francisco,Matugas
Surigao del Norte ,2nd,Robert Ace Barbers ,Nacionalista ,2,Majority ,18,Robert,Barbers
Surigao del Sur ,1st,"Prospero Pichay, Jr. ",Lakas ,2,Majority ,18,Prospero,Pichay
Surigao del Sur ,2nd,Johnny Pimentel ,PDP-Laban ,2,Majority ,18,Johnny,Pimentel
Taguig–Pateros ,1st,Alan Peter Cayetano ,Nacionalista ,1,Majority ,18,Alan,Cayetano
Taguig ,2nd,Lani Cayetano ,Nacionalista ,1,Majority ,18,Lani,Cayetano
Tarlac ,1st,Charlie Cojuangco ,NPC ,2,Majority ,18,Charlie,Cojuangco
Tarlac ,2nd,Victor Yap ,NPC ,2,Majority ,18,Victor,Yap
Tarlac ,3rd,Noel Villanueva ,NPC ,3,Majority ,18,Noel,Villanueva
Tawi-Tawi ,Lone ,Rashid Matba ,PDP-Laban ,2,Majority ,18,Rashid,Matba
Valenzuela ,1st,Weslie Gatchalian ,NPC ,2,Majority ,18,Weslie,Gatchalian
Valenzuela ,2nd,Eric Martinez ,PDP-Laban ,2,Majority ,18,Eric,Martinez
Zambales ,1st,Jeffrey Khonghun ,Nacionalista ,3,Majority ,18,Jeffrey,Khonghun
Zambales ,2nd,Cherry Deloso-Montalla ,Liberal ,3,Majority ,18,Cherry,Deloso-Montalla
Zamboanga City ,1st,Cesar Jimenez ,PDP-Laban ,1,Majority ,18,Cesar,Jimenez
Zamboanga City ,2nd,Manuel Dalipe ,NPC ,2,Majority ,18,Manuel,Dalipe
Zamboanga del Norte ,1st,"Romeo Jalosjos, Jr. ",Nacionalista ,1,Majority ,18,Romeo,Jalosjos
Zamboanga del Norte ,2nd,Glona Labadlabad ,PDP-Laban ,2,Majority ,18,Glona,Labadlabad
Zamboanga del Norte ,3rd,Isagani Amatong ,Liberal ,3,Minority ,18,Isagani,Amatong
Zamboanga del Sur ,1st,Divina Grace Yu ,PDP-Laban ,2,Majority ,18,Divina,Yu
Zamboanga del Sur ,2nd,Jun Babasa ,PDP-Laban ,1,Majority ,18,Jun,Babasa
Zamboanga Sibugay ,1st,Wilter Palma II ,Lakas ,2,Majority ,18,Wilter,Palma
Zamboanga Sibugay ,2nd,Dulce Ann Hofer ,PDP-Laban ,3,Majority ,18,Dulce,Hofer
