Province,District,Name,Party,,,,,Year,First,Last
Iloilo ,1st,Janette L. Garin ,Lakas-CMD ,1,2004,Majority ,,13,Janette,Garin
Iloilo ,2nd,Judy Syjuco ,Liberal ,1,2004,Majority ,,13,Judy,Syjuco
Iloilo ,3rd,Arthur D. Defensor ,Lakas-CMD ,2,2001,Majority ,,13,Arthur,Defensor
Iloilo ,4th,Ferjenel G. Biron ,KAMPI ,1,2004,Majority ,,13,Ferjenel,Biron
Iloilo ,5th,Rolex T. Suplico ,LDP ,3,1998,Minority ,,13,Rolex,Suplico
Iloilo City ,Lone ,"Raul T. Gonzalez, Jr. ",Lakas-CMD ,1,2004,Majority ,,13,Raul,Gonzalez
Isabela ,1st,Rodolfo T. Albano III ,KAMPI ,1,2004,Majority ,,13,Rodolfo,Albano
Isabela ,2nd,Edwin C. Uy ,Lakas-CMD ,2,2001,Majority ,,13,Edwin,Uy
Isabela ,3rd,Faustino G. Dy III ,NPC ,2,2001,Majority ,,13,Faustino,Dy
Isabela ,4th,Anthony C. Miranda ,KAMPI ,1,2004,Majority ,,13,Anthony,Miranda
Kalinga ,Lone ,Laurence B. Wacnang ,Liberal ,3,1998,Majority ,,13,Laurence,Wacnang
La Union ,1st,Manuel C. Ortega ,NPC ,3,1998,Majority ,,13,Manuel,Ortega
La Union ,2nd,Tomas M. Dumpit ,KAMPI ,3,1998,Majority ,,13,Tomas,Dumpit
Laguna ,1st,Uliran T. Joaquin ,NPC ,3,1998,Majority ,,13,Uliran,Joaquin
Laguna ,2nd,Justin S.B. Chipeco ,Nacionalista ,1,2004,Minority ,,13,Justin,Chipeco
Laguna ,3rd,Danton Q. Bueser ,Liberal ,3,1998,Majority ,,13,Danton,Bueser
Laguna ,4th,"Benjamin C. Agarao, Jr. ",Liberal ,1,2004,Minority ,,13,Benjamin,Agarao
Lanao del Norte ,1st,Alipio V. Badelles ,NPC ,3,1998,Majority ,,13,Alipio,Badelles
Lanao del Norte ,2nd,Abdullah D. Dimaporo ,Lakas-CMD ,2,2001,Majority ,,13,Abdullah,Dimaporo
Lanao del Sur ,1st,Faysah R.P.M. Dumarpa ,Lakas-CMD ,2,2001,Majority ,,13,Faysah,Dumarpa
Lanao del Sur ,2nd,"Benasing O. Macarambon, Jr. ",NPC ,3,1998,Majority ,,13,Benasing,Macarambon
Las Piñas City ,Lone ,Cynthia A. Villar ,Nacionalista ,2,2001,Majority ,,13,Cynthia,Villar
Leyte ,1st,Remedios L. Petilla ,Lakas-CMD ,1,2004,Majority ,,13,Remedios,Petilla
Leyte ,2nd,Trinidad G. Apostol ,Lakas-CMD ,2,2001,Majority ,,13,Trinidad,Apostol
Leyte ,3rd,Eduardo K. Veloso ,Lakas-CMD/NPC ,3,1998,Majority ,,13,Eduardo,Veloso
Leyte ,4th,"Eufrocino M. Codilla, Sr. ",Lakas-CMD ,2,2001,Majority ,,13,Eufrocino,Codilla
Leyte ,5th,Carmen L. Cari ,Lakas-CMD ,2,2001,Majority ,,13,Carmen,Cari
Maguindanao ,1st,Baisendig G. Dilangalen ,PMP ,1,2004,Minority ,,13,Baisendig,Dilangalen
Maguindanao ,2nd,Simeon A. Datumanong ,Lakas-CMD ,1,2004,Majority ,,13,Simeon,Datumanong
Makati City ,1st,"Teodoro L. Locsin, Jr. ",PDP-Laban ,2,2001,Majority ,,13,Teodoro,Locsin
Makati City ,2nd,Agapito A. Aquino ,LDP ,3,1998,Minority ,,13,Agapito,Aquino
Malabon City–Navotas ,Lone ,Federico S. Sandoval II ,Liberal ,3,1998,Majority ,,13,Federico,Sandoval
Mandaluyong City ,Lone ,"Benjamin D. Abalos, Jr. ",Lakas-CMD ,1,2004,Majority ,,13,Benjamin,Abalos
Manila ,1st,Ernesto A. Nieva ,Lakas-CMD ,3,1998,Majority ,,13,Ernesto,Nieva
Manila ,2nd,Jaime C. Lopez ,Lakas-CMD ,2,2001,Majority ,,13,Jaime,Lopez
Manila ,3rd,Miles M. Roces ,Liberal ,1,2004,Majority ,,13,Miles,Roces
Manila ,4th,Rodolfo C. Bacani ,Liberal ,3,1998,Majority ,,13,Rodolfo,Bacani
Manila ,5th,Joey D. Hizon ,Nacionalista ,3,1998,Majority ,,13,Joey,Hizon
Manila ,6th,"Bienvenido M. Abante, Jr. ",Lakas-CMD ,1,2004,Majority ,,13,Bienvenido,Abante
Marikina City ,Lone ,Del R. De Guzman ,Lakas-CMD ,2,2001,Majority ,,13,Del,Guzman
Marinduque ,Lone ,"Edmundo O. Reyes, Jr. ",Lakas-CMD ,3,1998,Majority ,,13,Edmundo,Reyes
Masbate ,1st,"Narciso R. Bravo, Jr. ",KAMPI ,1,2004,Majority ,,13,Narciso,Bravo
Masbate ,2nd,"Emilio R. Espinosa, Jr. ",NPC ,3,1998,Majority ,,13,Emilio,Espinosa
Masbate ,3rd,Rizalina Seachon-Lanete ,NPC ,1,2004,Majority ,,13,Rizalina,Seachon-Lanete
Misamis Occidental ,1st,Ernie D. Clarete ,REPORMA-LM ,2,2001,Majority ,,13,Ernie,Clarete
Misamis Occidental ,2nd,Herminia M. Ramiro ,Lakas-CMD ,2,2001,Majority ,,13,Herminia,Ramiro
Misamis Oriental ,1st,Danilo P. Lagbas ,KNP ,1,2004,Majority ,,13,Danilo,Lagbas
Misamis Oriental ,2nd,Augusto H. Baculio ,KAMPI ,3,1998,Majority ,,13,Augusto,Baculio
Mountain Province ,Lone ,Victor S. Dominguez ,KAMPI ,1,2004,Majority ,,13,Victor,Dominguez
Muntinlupa City ,Lone ,Rozzano Rufino B. Biazon ,Liberal ,2,2001,Majority ,,13,Rozzano,Biazon
Negros Occidental ,1st,Tranquilino B. Carmona ,KAMPI ,1,2004,Majority ,,13,Tranquilino,Carmona
Negros Occidental ,2nd,Alfredo D. Marañon III ,KAMPI ,1,2004,Majority ,,13,Alfredo,Marañon
Negros Occidental ,3rd,Jose Carlos V. Lacson ,Lakas-CMD ,2,2001,Majority ,,13,Jose,Lacson
Negros Occidental ,4th,Carlos O. Cojuangco ,NPC ,3,1998,Majority ,,13,Carlos,Cojuangco
Negros Occidental ,5th,Ignacio T. Arroyo ,KAMPI ,1,2004,Majority ,,13,Ignacio,Arroyo
Negros Occidental ,6th,Genaro Rafael K. Alvarez III ,KAMPI/NPC ,1,2004,Majority ,,13,Genaro,Alvarez
Negros Oriental ,1st,Jacinto V. Paras ,LDP ,3,1998,Minority ,,13,Jacinto,Paras
Negros Oriental ,2nd,Emilio C. Macias II ,NPC ,3,1998,Majority ,,13,Emilio,Macias
Negros Oriental ,3rd,Herminio G. Teves ,Lakas-CMD ,3,1998,Majority ,,13,Herminio,Teves
Northern Samar ,1st,Harlin C. Abayon ,Liberal ,3,1998,Majority ,,13,Harlin,Abayon
Northern Samar ,2nd,Romualdo T. Vicencio[n 8],Lakas-CMD ,3,1998,Majority ,,13,Romualdo,""
Nueva Ecija ,1st,Josefina M. Joson ,NPC ,3,1998,Majority ,,13,Josefina,Joson
Nueva Ecija ,2nd,Eleuterio R. Violago ,Lakas-CMD ,2,2001,Majority ,,13,Eleuterio,Violago
Nueva Ecija ,3rd,Aurelio M. Umali ,Lakas-CMD ,2,2001,Majority ,,13,Aurelio,Umali
Nueva Ecija ,4th,Rodolfo W. Antonino ,KAMPI ,1,2004,Majority ,,13,Rodolfo,Antonino
Nueva Vizcaya ,Lone ,Rodolfo Q. Agbayani ,LDP ,1,2004,Minority ,,13,Rodolfo,Agbayani
Occidental Mindoro ,Lone ,Ma. Amelita C. Villarosa ,KAMPI ,1,2004,Majority ,,13,Amelita,Villarosa
Oriental Mindoro ,1st,Rodolfo G. Valencia ,Liberal ,1,2004,Majority ,,13,Rodolfo,Valencia
Oriental Mindoro ,2nd,"Alfonso V. Umali, Jr. ",Liberal ,2,2001,Majority ,,13,Alfonso,Umali
Palawan ,1st,Antonio C. Alvarez ,KAMPI ,1,2004,Majority ,,13,Antonio,Alvarez
Palawan ,2nd,Abraham Kahlil B. Mitra ,Liberal ,2,2001,Majority ,,13,Abraham,Mitra
Pampanga ,1st,Francis L. Nepomuceno ,NPC ,3,1998,Majority ,,13,Francis,Nepomuceno
Pampanga ,2nd,Mikey Macapagal Arroyo ,Lakas-CMD ,1,2004,Majority ,,13,Mikey,Arroyo
Pampanga ,3rd,Rey B. Aquino ,Lakas-CMD ,1,2004,Majority ,,13,Rey,Aquino
