Province,District,Name,Party,,Year,First,Last
Iloilo ,2nd ,Alberto J. Lopez , ,2,9,Alberto,Lopez
Iloilo ,3rd ,Licurgo P. Tirador , ,2,9,Licurgo,Tirador
Iloilo ,4th ,Nicetas P. Panes , ,1,9,Nicetas,Panes
Iloilo ,5th ,Neil D. Tupas , ,2,9,Neil,Tupas
Iloilo City ,Lone ,Rafael J. Lopez-Vito , ,2,9,Rafael,Lopez-Vito
Isabela ,1st ,Rodolfo B. Albano ,NPC ,2,9,Rodolfo,Albano
Isabela ,2nd ,"Faustino S. Dy, Jr. ",NPC ,1,9,Faustino,Dy
Isabela ,3rd ,Santiago P. Respicio ,NPC ,2,9,Santiago,Respicio
Isabela ,4th ,Antonio M. Abaya ,NPC ,2,9,Antonio,Abaya
Kalinga-Apayao ,Lone ,Elias K. Bulut ,LDP ,1,9,Elias,Bulut
La Union ,1st ,Victor F. Ortega ,NPC ,2,9,Victor,Ortega
La Union ,2nd ,Jose D. Aspiras ,NPC ,2,9,Jose,Aspiras
Laguna ,1st ,Roy M. Almoro , ,1,9,Roy,Almoro
Laguna ,2nd ,Rodolfo R. Tingzon , ,1,9,Rodolfo,Tingzon
Laguna ,3rd ,Florante L. Aquino , ,2,9,Florante,Aquino
Laguna ,4th ,Magdaleno M. Palacol , ,2,9,Magdaleno,Palacol
Lanao del Norte ,1st ,"Mariano Ll. Badelles, Sr. ", ,2,9,Mariano,Badelles
Lanao del Norte ,2nd ,Mario E. Hisuler , ,1,9,Mario,Hisuler
Lanao del Sur ,1st ,Mamintal M. Adiong ,Lakas-NUCD ,1,9,Mamintal,Adiong
Lanao del Sur ,2nd ,Mohamad Ali B. Dimaporo ,NPC ,2,9,Mohamad,Dimaporo
Las Piñas-Muntinlupa ,Lone ,"Manuel B. Villar, Jr. ",Lakas-NUCD ,1,9,Manuel,Villar
Leyte ,1st ,Cirilo Roy C. Montejo , ,2,9,Cirilo,Montejo
Leyte ,2nd ,Sergio Antonio F. Apostol , ,1,9,Sergio,Apostol
Leyte ,3rd ,Alberto S. Veloso , ,2,9,Alberto,Veloso
Leyte ,4th ,Carmelo J. Locsin , ,2,9,Carmelo,Locsin
Leyte ,5th ,Eriberto V. Loreto , ,2,9,Eriberto,Loreto
Maguindanao ,1st ,Michael O. Mastura , ,2,9,Michael,Mastura
Maguindanao ,2nd ,Simeon A. Datumanong ,Lakas-NUCD ,2,9,Simeon,Datumanong
Makati ,Lone ,Joker P. Arroyo , ,1,9,Joker,Arroyo
Malabon-Navotas ,Lone ,Teresa Aquino-Oreta , ,2,9,Teresa,Aquino-Oreta
Manila ,1st ,Martin B. Isidro , ,2,9,Martin,Isidro
Manila ,2nd ,Jaime C. Lopez , ,2,9,Jaime,Lopez
Manila ,3rd ,Leonardo B. Fugoso , ,2,9,Leonardo,Fugoso
Manila ,4th ,"Ramon S. Bagatsing, Jr. ", ,2,9,Ramon,Bagatsing
Manila ,5th ,Amado S. Bagatsing , ,2,9,Amado,Bagatsing
Manila ,6th ,Rosenda Ann M. Ocampo , ,1,9,Rosenda,Ocampo
Marikina ,Lone ,Romeo D. Candazo , ,1,9,Romeo,Candazo
Marinduque ,Lone ,Carmencita O. Reyes , ,2,9,Carmencita,Reyes
Masbate ,1st ,Tito R. Espinosa3 , ,2,9,Tito,Espinosa
Masbate ,2nd ,Luz Cleta R. Bakunawa , ,2,9,Luz,Bakunawa
Masbate ,3rd ,Antonio T. Kho , ,1,9,Antonio,Kho
Misamis Occidental ,1st ,Percival B. Catane , ,1,9,Percival,Catane
Misamis Occidental ,2nd ,"Hilarion J. Ramiro, Jr. ", ,1,9,Hilarion,Ramiro
Misamis Oriental ,1st ,Homobono T. Cesar , ,1,9,Homobono,Cesar
Misamis Oriental ,2nd ,Victorico L. Chavez , ,1,9,Victorico,Chavez
Mountain Province ,Lone ,Victor S. Dominguez ,Lakas-NUCD ,2,9,Victor,Dominguez
Negros Occidental ,1st ,Tranquilino B. Carmona , ,1,9,Tranquilino,Carmona
Negros Occidental ,2nd ,Manuel H. Puey , ,2,9,Manuel,Puey
