Province,District,Name,Party,,,,Year,First,Last
Davao del Norte ,1st ,Pantaleon Alvarez ,PDP-Laban ,1,Majority ,,17,Pantaleon,Alvarez
Davao del Norte ,2nd ,Antonio Floirendo Jr. ,HNP ,1,Majority ,,17,Antonio,Floirendo
Davao del Sur ,Lone ,Mercedes Cagas ,Nacionalista ,2,Majority ,,17,Mercedes,Cagas
Davao Occidental ,Lone ,Lorna Bautista-Bandigan ,NPC ,1,Majority ,,17,Lorna,Bautista-Bandigan
Davao Oriental ,1st ,Corazon Nuñez-Malanyaon ,Nacionalista ,1,Majority ,,17,Corazon,Nuñez-Malanyaon
Davao Oriental ,2nd ,Joel Mayo Almario[12] ,PDP-Laban ,1,Majority ,,17,Joel,Almario
Dinagat Islands ,Lone ,Kaka Bag-ao ,Liberal ,2,Independent minority ,,17,Kaka,Bag-ao
Eastern Samar ,Lone ,Ben Evardone ,PDP-Laban ,3,Majority ,,17,Ben,Evardone
Guimaras ,Lone ,Maria Lucille Nava[13] ,PDP-Laban ,1,Majority ,,17,Maria,Nava
Ifugao ,Lone ,Teodoro Baguilat Jr. ,Liberal ,3,Independent minority ,,17,Teodoro,Baguilat
Iligan ,Lone ,Frederick Siao ,Nacionalista ,1,Majority ,,17,Frederick,Siao
Ilocos Norte ,1st ,Rodolfo Fariñas ,PDP-Laban ,3,Majority ,,17,Rodolfo,Fariñas
Ilocos Norte ,2nd ,Imelda Marcos ,Nacionalista ,3,Majority ,,17,Imelda,Marcos
Ilocos Sur ,1st ,Deogracias Victor Savellano ,Nacionalista ,1,Majority ,,17,Deogracias,Savellano
Ilocos Sur ,2nd ,Eric Singson ,Bileg Ti Ilokano ,2,Majority ,,17,Eric,Singson
Iloilo ,1st ,Oscar Garin Jr. ,Nacionalista ,2,Majority ,,17,Oscar,Garin
Iloilo ,2nd ,Arcadio Gorriceta ,Liberal ,2,Majority ,,17,Arcadio,Gorriceta
Iloilo ,3rd ,Arthur Defensor Jr. ,PDP-Laban ,3,Majority ,,17,Arthur,Defensor
Iloilo ,4th ,Ferjenel Biron ,Nacionalista ,1,Majority ,,17,Ferjenel,Biron
