Province/City ,District ,Representative ,,Party ,Term ,First Elected ,Bloc ,
Marinduque ,Lone ,  ,"Edmundo O. Reyes, Jr. ",Lakas-CMD ,3,1998,Majority ,
Masbate ,1st,  ,"Narciso R. Bravo, Jr. ",KAMPI ,1,2004,Majority ,
,2nd,  ,"Emilio R. Espinosa, Jr. ",NPC ,3,1998,Majority ,
,3rd,  ,Rizalina Seachon-Lanete ,NPC ,1,2004,Majority ,
Misamis Occidental ,1st,  ,Ernie D. Clarete ,REPORMA-LM ,2,2001,Majority ,
,2nd,  ,Herminia M. Ramiro ,Lakas-CMD ,2,2001,Majority ,
Misamis Oriental ,1st,  ,Danilo P. Lagbas ,KNP ,1,2004,Majority ,
,2nd,  ,Augusto H. Baculio ,KAMPI ,3,1998,Majority ,
Mountain Province ,Lone ,  ,Victor S. Dominguez ,KAMPI ,1,2004,Majority ,
Muntinlupa City ,Lone ,  ,Rozzano Rufino B. Biazon ,Liberal ,2,2001,Majority ,
Negros Occidental ,1st,  ,Tranquilino B. Carmona ,KAMPI ,1,2004,Majority ,
,2nd,  ,Alfredo D. Marañon III ,KAMPI ,1,2004,Majority ,
,3rd,  ,Jose Carlos V. Lacson ,Lakas-CMD ,2,2001,Majority ,
,4th,  ,Carlos O. Cojuangco ,NPC ,3,1998,Majority ,
,5th,  ,Ignacio T. Arroyo ,KAMPI ,1,2004,Majority ,
,6th,  ,Genaro Rafael K. Alvarez III ,KAMPI/NPC ,1,2004,Majority ,
Negros Oriental ,1st,  ,Jacinto V. Paras ,LDP ,3,1998,Minority ,
,2nd,  ,Emilio C. Macias II ,NPC ,3,1998,Majority ,
,3rd,  ,Herminio G. Teves ,Lakas-CMD ,3,1998,Majority ,
Northern Samar ,1st,  ,Harlin C. Abayon ,Liberal ,3,1998,Majority ,
,2nd,  ,Romualdo T. Vicencio[n 8],Lakas-CMD ,3,1998,Majority ,
Nueva Ecija ,1st,  ,Josefina M. Joson ,NPC ,3,1998,Majority ,
,2nd,  ,Eleuterio R. Violago ,Lakas-CMD ,2,2001,Majority ,
,3rd,  ,Aurelio M. Umali ,Lakas-CMD ,2,2001,Majority ,
,4th,  ,Rodolfo W. Antonino ,KAMPI ,1,2004,Majority ,
Nueva Vizcaya ,Lone ,  ,Rodolfo Q. Agbayani ,LDP ,1,2004,Minority ,
Occidental Mindoro ,Lone ,  ,Ma. Amelita C. Villarosa ,KAMPI ,1,2004,Majority ,
Oriental Mindoro ,1st,  ,Rodolfo G. Valencia ,Liberal ,1,2004,Majority ,
,2nd,  ,"Alfonso V. Umali, Jr. ",Liberal ,2,2001,Majority ,
Palawan ,1st,  ,Antonio C. Alvarez ,KAMPI ,1,2004,Majority ,
,2nd,  ,Abraham Kahlil B. Mitra ,Liberal ,2,2001,Majority ,
Pampanga ,1st,  ,Francis L. Nepomuceno ,NPC ,3,1998,Majority ,
,2nd,  ,Mikey Macapagal Arroyo ,Lakas-CMD ,1,2004,Majority ,
,3rd,  ,Rey B. Aquino ,Lakas-CMD ,1,2004,Majority ,
,4th,  ,Anna York P. Bondoc ,Nacionalista ,1,2004,Majority ,
Pangasinan ,1st,  ,Arthur F. Celeste ,KAMPI ,2,2001,Majority ,
,2nd,  ,"Amado T. Espino, Jr. ",KAMPI ,2,2001,Majority ,
,3rd,  ,Generoso D.C. Tulagan ,KAMPI ,3,1998,Majority ,
,4th,  ,"Jose de Venecia, Jr. ",Lakas-CMD ,2,2001,Majority ,
,5th,  ,Mark O. Cojuangco ,NPC ,2,2001,Majority ,
,6th,  ,Conrado M. Estrella III ,NPC ,2,2001,Majority ,
Parañaque City ,1st,  ,Eduardo C. Zialcita ,Lakas-CMD ,2,2001,Majority ,
,2nd,  ,Roilo Golez ,KAMPI ,1,2004,Majority ,
Pasay City ,Lone ,  ,Consuelo A. Dy ,KAMPI ,2,2001,Majority ,
Pasig City ,Lone ,  ,Robert Dodot Jaworski Jr.,Lakas-CMD ,1,2004,Majority ,
Quezon ,1st,  ,Rafael P. Nantes ,Liberal ,3,1998,Majority ,
,2nd,  ,Proceso J. Alcala ,Liberal ,1,2004,Majority ,
,3rd,  ,Danilo E. Suarez ,Liberal ,1,2004,Majority ,
,4th,  ,Lorenzo R. Tañada III ,Liberal ,1,2004,Majority ,
Quezon City ,1st,  ,Vincent Bingbong P. Crisologo ,Nacionalista ,1,2004,Minority ,
,2nd,  ,Mary Ann L. Susano ,Lakas-CMD ,1,2004,Majority ,
,3rd,  ,"Matias V. Defensor, Jr. ",Liberal ,1,2004,Majority ,
,4th,  ,Nanette Castelo-Daza ,Lakas-CMD ,2,2001,Majority ,
Quirino ,Lone ,  ,Junie E. Cua ,Liberal ,2,2001,Majority ,
Rizal ,1st,  ,Michael John Jack R. Duavit ,NPC ,2,2001,Majority ,
,2nd,  ,"Isidro S. Rodriguez, Jr. ",NPC ,3,1998,Majority ,
