District Representatives ,,,,
Province/City ,District ,Representative ,Party ,Term 
,2nd,Emilio C. Macias II ,NPC/LAMMP ,1
,3rd,Herminio G. Teves ,Lakas-NUCD ,1
Northern Samar ,1st,Harlin Cast. Abayon I ,Liberal ,1
,2nd,Romualdo T. Vicencio ,Liberal ,1
Nueva Ecija ,1st,Josefina M. Joson ,NPC/BALANE/LAMMP ,1
,2nd,Simeon E. Garcia Jr. ,LAMMP ,1
,3rd,Pacifico M. Fajardo ,Lakas-NUCD ,3
,4th,Julita Lorenzo-Villareal ,LAMMP ,2
Nueva Vizcaya ,Lone ,Carlos M. Padilla ,LDP/LAMMP ,2
Occidental Mindoro ,Lone ,Ricardo V. Quintos ,LDP ,1
Oriental Mindoro ,1st,J. Renato V. Leviste ,Lakas-NUCD ,3
,2nd,Manuel G. Andaya ,LAMMP ,1
Palawan ,1st,Vicente A. Sandoval ,LDP ,2
,2nd,Alfredo Amor E. Abueg Jr. ,LAMMP ,3
Pampanga ,1st,Francis L. Nepomuceno ,NPC/LAMMP ,1
,2nd,Zenaida C. Cruz-Ducut ,NPC/LAMMP ,2
,3rd,Oscar S. Rodriguez ,NPC/LAMMP ,2
,4th,Juan Pablo P. Bondoc ,NPC/LAMMP ,1
Pangasinan ,1st,Hernani A. Braganza ,Lakas-NUCD ,2
,2nd,Teodoro C. Cruz ,LAMMP ,1
,3rd,Generoso D.C. Tulagan ,NPC ,1
,4th,Benjamin S. Lim ,Lakas-NUCD ,1
,5th,Amadeo R. Perez Jr. ,LAMMP ,3
,6th,Ranjit R. Shahani ,LDP ,2
Parañaque ,Lone ,Roilo J. Golez6,LAMMP ,2
Pasay City ,Lone ,Rolando A. Briones ,LAMMP ,1
Pasig ,Lone ,Henry P. Lanot ,LDP ,1
Pateros–Taguig ,Lone ,Alan Peter S. Cayetano ,LAMMP ,1
Quezon ,1st,Rafael P. Nantes ,LAMMP ,1
,2nd,Marcial C. Punzalan Jr.2,LAMMP ,3
,3rd,Danilo E. Suarez ,LAMMP ,3
,4th,Wigberto E. Tañada ,Liberal ,2
Quezon City ,1st,Reynaldo A. Calalay ,LAMMP ,2
,2nd,Dante V. Liban ,LAMMP ,3
,3rd,Michael I. Defensor ,Liberal ,2
,4th,Feliciano R. Belmonte Jr. ,Lakas-NUCD ,3
Quirino ,Lone ,Ma. Angela E. Cua ,LAMMP ,1
Rizal ,1st,Gilberto M. Duavit ,NPC/LAMMP ,3
,2nd,Isidro S. Rodriguez Jr. ,NPC ,1
Romblon ,Lone ,Eleandro Jesus F. Madrona ,LAMMP ,3
Samar (Western) ,1st,Rodolfo T. Tuazon ,LAMMP ,3
,2nd,Antonio Eduardo B. Nachura ,Liberal ,1
San Juan ,Lone ,Jose Mari C. Gonzalez ,LAMMP ,1
Sarangani ,Lone ,Juan Domino ,independent ,1
Siquijor ,Lone ,Orlando A. Fua Jr. ,Lakas-NUCD ,1
Sorsogon ,1st,Francis Joseph G. Escudero ,NPC/LAMMP ,1
,2nd,Rodolfo F. Gonzales ,LAMMP ,1
South Cotabato ,1st,Luwalhati R. Antonino ,LAMMP ,3
,2nd,Daisy P. Avance-Fuentes ,NPC/LAMMP ,3
Southern Leyte ,Lone ,Roger G. Mercado ,Lakas-NUCD ,2
Sultan Kudarat ,Lone ,Angelo O. Montilla ,NPC/LAMMP ,2
Sulu ,1st,Hussin U. Amin ,LAMMP ,1
,2nd,Asani S. Tammang ,LAMMP ,3
Surigao del Norte ,1st,Constantino H. Navarro Jr. ,LAMMP ,2
,2nd,Robert Ace Barbers ,Lakas-NUCD ,1
Surigao del Sur ,1st,Prospero A. Pichay Jr. ,Lakas-NUCD ,1
,2nd,Jesnar R. Falcon ,LAMMP ,2
Tarlac ,1st,Gilbert C. Teodoro Jr. ,NPC/LAMMP ,1
,2nd,Benigno S. Aquino III ,Liberal ,1
,3rd,Jesli A. Lapus ,LAMMP ,1
Tawi-Tawi ,Lone ,Nur G. Jaafar ,LAMMP ,3
Valenzuela ,Lone ,Magtanggol T. Gunigundo ,Lakas-NUCD ,1
Zambales ,1st,James J. Gordon Jr. ,Lakas-NUCD ,2
,2nd,Antonio M. Diaz ,LAMMP ,3
Zamboanga City ,Lone ,Celso L. Lobregat ,LDP ,1
Zamboanga del Norte ,1st,Romeo G. Jalosjos ,NPC ,1
,2nd,Roseller L. Barinaga ,LAMMP ,1
,3rd,Angeles R. Carloto II ,Lakas-NUCD ,3
Zamboanga del Sur ,1st,Alejandro S. Urro ,LDP ,3
,2nd,Aurora E. Cerilles ,LAMMP ,1
,3rd,George T. Hofer ,LAMMP ,1
