District Representatives ,,,,,,
Province/City ,District ,Representative ,,Party ,Term ,First Elected 
,4th,  ,Rodolfo C. Bacani ,Liberal ,2,1998
,5th,  ,Joey D. Hizon ,Liberal ,2,1998
,6th,  ,Mark B. Jimenez (Mario B. Crespo)4,independent ,1,2001
Marikina City ,Lone ,  ,Del R. De Guzman ,Lakas-CMD ,1,2001
Marinduque ,Lone ,  ,Edmundo O. Reyes Jr. ,Lakas-CMD ,2,1998
Masbate ,1st,  ,Vida V. Espinosa ,Lakas-CMD ,3,1995
,2nd,  ,Emilio R. Espinosa Jr. ,NPC ,2,1998
,3rd,  ,Fausto L. Seachon Jr. ,NPC ,3,1995
Misamis Occidental ,1st,  ,Ernie D. Clarete ,REPORMA-LM ,1,2001
,2nd,  ,Herminia M. Ramiro ,Liberal ,1,2001
Misamis Oriental ,1st,  ,Oscar S. Moreno ,Lakas-CMD ,2,1998
,2nd,  ,Augusto H. Baculio ,LDP ,2,1998
Mountain Province ,Lone ,  ,Roy S. Pilando ,LDP ,1,2001
Muntinlupa City ,Lone ,  ,Rozzano Rufino B. Biazon ,LDP ,1,2001
Negros Occidental ,1st,  ,Julio A. Ledesma IV ,NPC ,3,1995
,2nd,  ,Alfredo G. Marañon Jr. ,NPC ,3,1995
,3rd,  ,Jose Carlos V. Lacson ,Lakas-CMD ,1,2001
,4th,  ,Carlos O. Cojuangco ,NPC ,2,1998
,5th,  ,Jose Apolinario Lozada Jr. ,Lakas-CMD/KAMPI ,2,1998
,6th,  ,Genaro M. Alvarez Jr. ,NPC ,3,1995
Negros Oriental ,1st,  ,Jacinto V. Paras ,LDP ,2,1998
,2nd,  ,Emilio C. Macias II ,NPC ,2,1998
,3rd,  ,Herminio G. Teves ,Lakas-CMD ,2,1998
Northern Samar ,1st,  ,Harlin C. Abayon ,Liberal ,2,1998
,2nd,  ,Romualdo T. Vicencio ,Lakas-CMD ,2,1998
Nueva Ecija ,1st,  ,Josefina M. Joson ,NPC-BALANE ,2,1998
,2nd,  ,Eleuterio R. Violago ,Lakas-CMD ,1,2001
,3rd,  ,Aurelio M. Umali ,LDP ,1,2001
,4th,  ,Raul L. Villareal ,Lakas-CMD ,1,2001
Nueva Vizcaya ,Lone ,  ,Carlos M. Padilla ,LDP ,3,1995
Occidental Mindoro ,Lone ,  ,Josephine Y. Ramirez-Sato ,Lakas-CMD ,1,2001
Oriental Mindoro ,1st,  ,Charity P. Leviste ,Lakas-CMD ,1,2001
,2nd,  ,Alfonso V. Umali Jr. ,Liberal ,1,2001
Palawan ,1st,  ,Vicente A. Sandoval ,Lakas-CMD ,3,1995
,2nd,  ,Abraham Kahlil B. Mitra ,Liberal ,1,2001
Pampanga ,1st,  ,Francis L. Nepomuceno ,NPC ,2,1998
,2nd,  ,Zenaida G. Cruz-Ducut ,Lakas-CMD ,3,1995
,3rd,  ,Oscar S. Rodriguez ,Lakas-CMD ,3,1995
,4th,  ,Juan Pablo P. Bondoc ,NPC ,2,1998
Pangasinan ,1st,  ,Arthur F. Celeste ,Lakas-CMD ,1,2001
,2nd,  ,Amado T. Espino Jr. ,Lakas-CMD ,1,2001
,3rd,  ,Generoso D.C. Tulagan ,NPC ,2,1998
,4th,  ,Jose de Venecia Jr. ,Lakas-CMD ,1,2001
,5th,  ,Mark O. Cojuangco ,NPC ,1,2001
,6th,  ,Conrado M. Estrella III ,NPC ,1,2001
Parañaque City ,Lone ,  ,Eduardo C. Zialcita ,Lakas-CMD ,1,2001
Pasay City ,Lone ,  ,Consuelo A. Dy ,Lakas-CMD ,1,2001
Pasig City ,Lone ,  ,Noel M. Cariño5,Lakas-CMD ,1,2001
Quezon ,1st,  ,Rafael P. Nantes ,Liberal ,2,1998
,2nd,  ,Lynnette A. Punzalan ,Liberal ,1,2001
,3rd,  ,Aleta C. Suarez ,Liberal ,1,2001
,4th,  ,Georgilu R. Yumul-Hermida ,Liberal ,1,2001
Quezon City ,1st,  ,Reynaldo A. Calalay6,LDP ,3,1995
,2nd,  ,Ismael G. Mathay III ,independent ,1,2001
,3rd,  ,Ma. Theresa T. Defensor ,Liberal ,1,2001
,4th,  ,Nanette Castelo-Daza ,Lakas-CMD ,1,2001
Quirino ,Lone ,  ,Junie E. Cua ,Liberal ,1,2001
